,0
0,0.03141817
1,0.09219941
2,0.03307924
3,0.03602608
4,0.09554626
5,0.1047958
6,-0.1001226
7,-0.1471408
8,-0.1142319
9,-0.01203997
10,-0.03006108
11,-0.0532905
12,0.008775902
13,-0.1972287
14,-0.009599469
15,-0.0383069
16,0.07362191
17,-0.02622414
18,-0.201727
19,0.04284366
20,0.001228022
21,-0.1197024
22,0.0811112
23,0.03369352
24,-0.188859
25,-0.0493862
26,0.1587211
27,0.03597646
28,0.01100852
29,0.07386461
30,-0.04510325
31,-0.1654517
32,0.01628429
33,-0.01356707
34,-0.09848408
35,0.05240206
36,-0.05553489
37,-0.00452317
38,0.1172516
39,0.03865957
40,0.3033719
41,0.1111455
42,-0.0430026
43,0.03149909
44,0.1155948
45,0.09863828
46,0.08753918
47,0.1056943
48,-0.09046661
49,0.01303974
50,-0.07580743
51,0.03469125
52,0.09482332
53,-0.1128324
54,-0.09450307
55,0.04401296
56,-0.001327239
57,0.01079769
58,0.03286958
59,0.01297301
60,-0.1001636
61,-0.04609048
62,0.06142482
63,-0.00818512
64,-0.2059649
65,0.09472801
66,-0.0229661
67,0.1266778
68,0.0558213
69,-0.0403496
70,-0.02146183
71,-0.1073589
72,-0.08219467
73,-0.01719576
74,0.04965559
75,0.027213
76,0.0900196
77,-0.09140701
78,-0.002223811
79,-0.09648095
80,-0.01334881
81,0.0163697
82,0.1455245
83,-0.171092
84,0.05015776
85,0.01663665
86,0.087544
87,0.2666084
88,0.1949341
89,-0.1599002
90,-0.07916624
91,0.07277595
92,-0.1149261
93,-0.09755626
94,-0.05126996
95,0.1214591
96,-0.1416259
97,-0.05409018
98,-0.0327474
99,-0.003802817
100,0.04880144
101,-0.06541105
102,0.03182491
103,-0.09396313
104,-0.07021054
105,-0.1021378
106,-0.1526084
107,-0.1306122
108,-0.04332871
109,-0.07809967
110,-0.0530727
111,-0.02160491
112,-0.007939887
113,-0.0642325
114,0.05161703
115,-0.1111175
116,-0.09793571
117,0.1601921
118,-0.1508183
119,-0.06146452
120,-0.220316
121,-0.1836597
122,0.2049713
123,0.1742598
124,-0.002794984
125,0.1506841
126,-0.03518169
127,-0.08471101
128,-0.09827068
129,-0.002590741
130,-0.08133699
131,-0.08262938
132,-0.1553764
133,0.04510713
134,0.2373668
135,-0.1301522
136,-0.03586623
137,-0.1217332
138,-0.1173164
139,0.06464209
140,0.1578835
141,-0.01616784
142,-0.03397396
143,0.1723196
144,0.06951917
145,-0.00565052
146,0.01938421
147,0.146581
148,-0.04455201
149,-0.09201677
150,-0.0001219153
151,-0.06352036
152,0.06216942
153,0.243032
154,-0.09655706
155,-0.01936165
156,-0.05466487
157,0.04975513
158,0.06528013
159,0.07893909
160,-0.04723173
161,-0.05440925
162,0.167241
163,-0.233322
164,-0.01236518
165,-0.01961153
166,0.1321337
167,0.1713767
168,0.008038828
169,-0.1155972
170,0.02138539
171,-0.1306538
172,0.1679587
173,-0.004260058
174,0.05346631
175,-0.04751229
176,-0.00652067
177,-0.1158491
178,0.03069221
179,0.08827803
180,-0.1242848
181,0.09337459
182,0.01311205
183,-0.1030528
184,0.09062352
185,-0.1860132
186,0.03141763
187,0.1315869
188,0.1150465
189,0.1329632
190,-0.0008366715
191,-0.05120335
192,-0.1305268
193,0.05195251
194,0.03025717
195,0.009919246
196,-0.02514607
197,0.02322666
198,-0.1248674
199,-0.01668229
200,-0.02780441
201,0.01540744
202,-0.04885559
203,0.1124802
204,0.1196623
205,-0.04961018
206,0.03954303
207,-0.08402556
208,0.2271666
209,0.04152785
210,-0.02392256
211,-0.03455679
212,0.1341497
213,0.1342072
214,-0.06493128
215,0.1940346
216,0.04575329
217,0.09451869
218,0.05756775
219,0.06372016
220,0.02329986
221,0.09139073
222,-0.1068759
223,0.07059705
224,0.2412015
225,0.1296448
226,-0.06212425
227,-0.1344397
228,-0.003039847
229,-0.165119
230,-0.121092
231,-0.1945228
232,0.02743778
233,0.07667428
234,0.03829165
235,-0.1135466
236,-0.1161362
237,0.256526
238,0.03822037
239,0.2323745
240,0.1430119
241,0.02852603
242,0.02006208
243,0.2850973
244,0.03224909
245,-0.03577572
246,0.03278176
247,0.111059
248,0.07408732
249,-0.1218012
250,0.06394955
251,-0.1571274
252,-0.02466
253,-0.1825092
254,0.0725227
255,0.08583713
256,0.03103288
257,-0.1525515
258,-0.02341448
259,0.03155053
260,-0.03330531
261,-0.08829025
262,-0.1326855
263,0.01339069
264,-0.06376286
265,-0.1068056
266,-0.0754124
267,-0.08691261
268,0.05699901
269,0.07232625
270,-0.03870959
271,0.05762722
272,0.05594986
273,0.1512573
274,-0.0299934
275,-0.04046554
276,-0.013002
277,-0.0008821534
278,0.1240294
279,-0.004234145
280,0.008120482
281,0.09325939
282,0.07273249
283,0.03082487
284,0.2324166
285,-0.0724131
286,-0.01048566
287,0.03978568
288,-0.1147814
289,0.09175862
290,-0.01970466
291,0.01530918
292,0.135961
293,0.02988529
294,0.1495736
295,0.1225584
296,0.04827035
297,-0.00590172
298,0.1132799
299,0.007285789
300,0.01629535
301,-0.01689732
302,0.01951686
303,0.05024575
304,-0.1180675
305,0.1414355
306,-0.09241637
307,-0.09380896
308,0.06143388
309,0.0714762
310,-0.1949855
311,-0.1650478
312,-0.07577782
313,-0.05660445
314,0.1327914
315,0.03331908
316,0.1703935
317,0.06277091
318,-0.03914452
319,-0.1153632
320,0.02028601
321,0.1662963
322,0.0002514752
323,0.05945244
324,0.03121527
325,0.1686
326,0.02766865
327,-0.01450587
328,0.06555616
329,0.04376959
330,-0.005577356
331,-0.01270324
332,-0.1313425
333,0.0605361
334,0.004202935
335,0.08091643
336,0.0111087
337,-0.1218975
338,-0.05491833
339,-0.01845573
340,0.01566873
341,-0.05316111
342,0.2305823
343,-0.04914135
344,0.01459825
345,0.08645948
346,0.008630272
347,0.01322778
348,-0.1797983
349,-0.1347336
350,0.1050528
351,-0.04651675
352,-0.1752152
353,0.1102683
354,-0.07964551
355,-0.1252
356,-0.07422956
357,-0.04333512
358,-0.1015723
359,0.02195809
360,-0.1347434
361,0.02619048
362,0.1585067
363,0.06399318
364,-0.209837
365,0.05686575
366,-0.04782425
367,0.07584487
368,-0.236506
369,-0.1392861
370,-0.04527459
371,0.0122185
372,0.06489704
373,0.1385275
374,-0.007357577
375,-0.02454524
376,-0.0177425
377,0.09967335
378,0.06386532
379,0.007232608
380,-0.1888165
381,0.04978872
382,0.0106368
383,0.002180574
384,0.01911113
385,0.05598395
386,0.1517635
387,0.1085752
388,0.1243421
389,0.09198602
390,0.149084
391,-0.1220238
392,0.1146026
393,-0.1268761
394,-0.08341308
395,-0.0276165
396,-0.06940081
397,-0.02392627
398,-0.145711
399,-0.08058842
400,0.08613519
401,-0.05515756
402,-0.09018968
403,-0.155915
404,-0.01596818
405,0.146444
406,-0.1309883
407,-0.08205633
408,0.05290716
409,0.07347134
410,0.1208643
411,-0.09125616
412,0.0512236
413,0.05289126
414,0.0100539
415,-0.09630008
416,-0.004334162
417,0.1490721
418,0.2495905
419,0.1259105
420,0.04544927
421,0.1115313
422,0.0003614231
423,0.08552166
424,-0.2660199
425,-0.1512973
426,-0.0240239
427,0.004003051
428,-0.1192936
429,0.04273749
430,-0.1013691
431,0.1212394
432,0.1993588
433,-0.008186185
434,0.1667339
435,-0.03513252
436,-0.04754094
437,-0.01659898
438,-0.0501165
439,-0.05571724
440,0.03707915
441,0.02927269
